1542869348242	976
1542869348226	1010
1542869348228	983
1542869349222	25
1542869349236	14
1542869349248	6
1542869349240	15
1542869349251	8
1542869349255	6
1542869349255	6
1542869349259	8
1542869349261	9
1542869349261	12
1542869349267	14
1542869349270	15
1542869349273	13
1542869349282	14
1542869349285	14
1542869349286	15
1542869349301	6
1542869349299	12
1542869349308	6
1542869349311	6
1542869349296	24
1542869349317	5
1542869349314	13
1542869349320	8
1542869349322	12
1542869349328	7
1542869349327	15
1542869349335	13
1542869349337	13
1542869349342	12
1542869349354	5
1542869349350	11
1542869349348	19
1542869349363	5
1542869349367	7
1542869349365	12
1542869349368	12
1542869349375	7
1542869349377	30
1542869349380	32
1542869349382	31
1542869349408	7
1542869349416	11
1542869349412	16
1542869349413	17
1542869349428	6
1542869349428	11
1542869349434	6
1542869349430	12
1542869349442	5
1542869349440	10
1542869349440	12
1542869349447	7
1542869349452	6
1542869349458	6
1542869349452	12
1542869349454	13
1542869349465	12
1542869349467	12
1542869349465	15
1542869349483	6
1542869349489	6
1542869349484	18
1542869349484	22
1542869349502	6
1542869349496	13
1542869349508	6
1542869349509	11
1542869349506	16
1542869349514	12
1542869349522	6
1542869349528	5
1542869349520	13
1542869349527	12
1542869349540	6
1542869349546	5
1542869349540	13
1542869349551	11
1542869349541	22
1542869349553	22
1542869349573	7
1542869349571	13
1542869349580	5
1542869349575	12
1542869349587	5
1542869349584	11
1542869349592	5
1542869349585	12
1542869349596	5
1542869349601	5
1542869349600	13
1542869349598	17
1542869349606	12
1542869349613	12
1542869349615	12
1542869349618	11
1542869349626	6
1542869349632	5
1542869349628	10
1542869349630	10
1542869349638	5
1542869349640	5
1542869349643	5
1542869349637	12
1542869349645	6
1542869349648	10
1542869349649	12
1542869349651	12
1542869349658	12
1542869349661	12
1542869349664	11
1542869349673	5
1542869349670	10
1542869349678	5
1542869349675	11
1542869349681	7
1542869349686	5
1542869349683	10
1542869349688	5
1542869349691	6
1542869349703	14
1542869349705	14
1542869349702	25
1542869349728	13
1542869349730	13
1542869349730	14
1542869349741	12
1542869349749	6
1542869349751	11
1542869349753	5
1542869349763	5
1542869349762	6
1542869349762	8
1542869349770	6
1542869349768	12
1542869349768	14
1542869349776	12
1542869349780	14
1542869349782	14
1542869349788	11
1542869349796	11
1542869349794	16
1542869349799	14
1542869349807	6
1542869349810	8
1542869349816	6
1542869349817	5
1542869349819	6
1542869349822	5
1542869349822	10
1542869349825	12
1542869349827	13
1542869349837	12
1542869349840	11
1542869349833	18
1542869349849	11
1542869349852	11
1542869349852	15
1542869349869	5
1542869349868	6
1542869349868	8
1542869349874	7
1542869349874	7
1542869349876	6
1542869349887	13
1542869349885	17
1542869349887	17
1542869349900	14
1542869349902	15
1542869349904	20
1542869349915	11
1542869349917	14
1542869349927	6
1542869349933	5
1542869349931	9
1542869349924	17
1542869349940	5
1542869349941	5
1542869349938	13
1542869349946	6
1542869349945	11
1542869349951	11
1542869349952	12
1542869349956	12
1542869349962	11
1542869349964	12
1542869349968	10
1542869349976	10
1542869349973	14
1542869349987	5
1542869349978	14
1542869349986	7
1542869349992	6
1542869349993	6
1542869349992	12
1542869349998	12
1542869349999	14
1542869350004	12
1542869350010	12
1542869350013	11
